Date,Latitude,Longitude,Altitude,Speed,Course,Horizontal Accuracy,Vertical Accuracy
2024-09-05T10:13:06Z,40.041880870523158,116.299131071488148,62.94,0.86,206.23,7.78,5.01
2024-09-05T10:13:07Z,40.041876978517891,116.299132847465231,62.09,0.94,207.66,7.22,4.67
2024-09-05T10:13:08Z,40.041869193900745,116.299130996128085,62.10,1.04,185.30,6.70,4.36
2024-09-05T10:13:09Z,40.041859311061714,116.299129513094087,61.90,1.25,170.52,6.24,4.09
2024-09-05T10:13:10Z,40.041847722634017,116.299124891561291,61.60,1.90,179.24,5.74,3.86
2024-09-05T10:13:11Z,40.041830393175672,116.299117999515076,61.17,2.49,190.00,5.42,3.66
2024-09-05T10:13:12Z,40.041803655279381,116.299106493686935,60.99,3.24,175.41,5.02,3.47
2024-09-05T10:13:14Z,40.041767330592705,116.299116064102122,60.79,2.66,147.05,4.70,3.29
2024-09-05T10:13:14Z,40.041766453506042,116.299115162579525,60.84,2.64,145.26,4.54,3.19
2024-09-05T10:13:15Z,40.041754371020211,116.299118199373396,60.67,2.45,141.38,4.28,3.00
2024-09-05T10:13:16Z,40.041738343954101,116.299130886860667,60.64,2.29,137.31,4.09,2.83
2024-09-05T10:13:17Z,40.041721090092871,116.299143857284022,60.55,2.13,141.66,3.89,2.69
2024-09-05T10:13:18Z,40.041703546748785,116.299154277823234,60.46,2.01,152.58,3.71,2.61
2024-09-05T10:13:19Z,40.041685344530471,116.299161207402221,60.61,2.02,163.75,3.58,2.53
2024-09-05T10:13:20Z,40.041666316923340,116.299163708000336,60.78,2.00,176.24,3.48,2.49
2024-09-05T10:13:21Z,40.041646272797671,116.299160332509928,60.91,2.01,188.09,3.36,2.44
2024-09-05T10:13:22Z,40.041626434314345,116.299151523839797,61.02,2.03,202.42,3.25,2.40
2024-09-05T10:13:23Z,40.041609349934120,116.299139631413993,61.24,1.94,212.33,3.17,2.38
2024-09-05T10:13:24Z,40.041594005699508,116.299127648149465,61.40,1.81,208.64,3.14,2.37
2024-09-05T10:13:25Z,40.041578301908359,116.299115433593215,61.55,1.80,211.74,3.10,2.34
2024-09-05T10:13:26Z,40.041560846601286,116.299100520608150,61.61,2.05,213.92,3.06,2.33
2024-09-05T10:13:27Z,40.041544786196852,116.299084988732702,61.96,2.15,219.48,3.10,2.33
2024-09-05T10:13:28Z,40.041529040201283,116.299066436358331,62.40,2.35,225.43,3.15,2.35
2024-09-05T10:13:29Z,40.041513826080362,116.299044828145810,62.65,2.45,230.82,3.23,2.38
2024-09-05T10:13:30Z,40.041499211987613,116.299020830004807,62.85,2.59,233.96,3.31,2.43
2024-09-05T10:13:31Z,40.041485595963849,116.298995274378370,63.11,2.56,238.17,3.41,2.47
2024-09-05T10:13:32Z,40.041473190708416,116.298968294257008,63.37,2.65,241.59,3.50,2.53
2024-09-05T10:13:33Z,40.041461171149962,116.298939444599753,63.60,2.77,242.63,3.59,2.58
2024-09-05T10:13:34Z,40.041448907482533,116.298909367472746,63.85,2.91,242.17,3.68,2.64
2024-09-05T10:13:35Z,40.041435944296381,116.298878475633316,64.06,2.98,241.07,3.78,2.70
2024-09-05T10:13:36Z,40.041422649530297,116.298847627860539,64.23,2.98,241.30,3.89,2.76
2024-09-05T10:13:37Z,40.041408334219426,116.298815760313161,64.29,3.05,240.76,3.98,2.82
2024-09-05T10:13:38Z,40.041394059546697,116.298783901656449,64.44,3.04,240.72,4.11,2.88
2024-09-05T10:13:39Z,40.041379886304277,116.298751764319746,64.53,3.09,240.86,4.23,2.94
2024-09-05T10:13:40Z,40.041365694640220,116.298718931256531,64.61,3.09,241.70,4.30,3.00
2024-09-05T10:13:41Z,40.041352387238419,116.298685140002050,64.68,3.04,245.13,4.37,3.06
2024-09-05T10:13:42Z,40.041341420358783,116.298652187743485,64.67,2.95,250.51,4.44,3.11
2024-09-05T10:13:43Z,40.041332415213247,116.298617838433572,64.62,2.88,256.50,4.47,3.12
2024-09-05T10:13:44Z,40.041325113331872,116.298583760071921,64.41,2.82,256.47,4.50,3.12
2024-09-05T10:13:45Z,40.041315188071195,116.298548831272115,63.76,2.83,247.74,4.46,3.06
2024-09-05T10:13:46Z,40.041300857743735,116.298511617340964,62.56,2.88,237.49,4.36,2.87
2024-09-05T10:13:47Z,40.041284364948929,116.298477541582486,61.92,2.96,234.76,4.30,2.84
2024-09-05T10:13:48Z,40.041266535709113,116.298442185879168,61.20,3.10,234.20,4.21,2.80
2024-09-05T10:13:50Z,40.041241637048053,116.298390882445347,59.95,3.03,238.70,4.15,2.69
2024-09-05T10:13:50Z,40.041232774347790,116.298370432278332,59.54,3.04,238.77,4.08,2.64
2024-09-05T10:13:51Z,40.041217543175506,116.298336349874987,59.07,3.02,239.76,4.01,2.61
2024-09-05T10:13:52Z,40.041201503335230,116.298302092739576,58.45,3.15,235.94,3.89,2.58
2024-09-05T10:13:53Z,40.041183589339816,116.298268227975171,57.89,3.13,232.62,3.80,2.55
2024-09-05T10:13:54Z,40.041164717638239,116.298236062434384,57.10,3.00,230.94,3.74,2.45
2024-09-05T10:13:55Z,40.041145115596024,116.298202864454055,56.57,3.09,233.92,3.63,2.31
2024-09-05T10:13:56Z,40.041127071545553,116.298169463147417,56.35,3.17,237.70,3.52,2.19
2024-09-05T10:13:57Z,40.041110705176472,116.298134641159820,56.37,3.25,239.79,3.42,2.10
2024-09-05T10:13:58Z,40.041095154055370,116.298099344885614,56.60,3.28,240.83,3.35,2.04
2024-09-05T10:13:59Z,40.041080835735805,116.298064418042074,56.66,3.22,242.16,3.31,1.99
2024-09-05T10:14:00Z,40.041067694913686,116.298030140497858,56.65,3.17,244.23,3.28,1.96
2024-09-05T10:14:01Z,40.041055740935576,116.297995316256092,56.69,3.15,246.82,3.23,1.94
2024-09-05T10:14:02Z,40.041044570844875,116.297959744462986,56.79,3.20,247.90,3.18,1.92
2024-09-05T10:14:03Z,40.041033640275742,116.297922648035922,57.05,3.25,247.09,3.10,1.89
2024-09-05T10:14:04Z,40.041022316628151,116.297885856423306,57.09,3.21,244.99,3.04,1.85
